Title,Authors,Description,Thumbnail URL
"Software Engineering","Richard F Schmidt","Software Engineering: Architecture-driven Software Development is the first comprehensive guide to the underlying skills embodied in the IEEE's Software Engineering Body of Knowledge (SWEBOK) standard. Standards expert Richard Schmidt explains the traditional software engineering practices recognized for developing projects for government or corporate systems. Software engineering education often lacks standardization, with many institutions focusing on implementation rather than design as it impacts product architecture. Many graduates join the workforce with incomplete skills, leading to software projects that either fail outright or run woefully over budget and behind schedule. Additionally, software engineers need to understand system engineering and architecture—the hardware and peripherals their programs will run on. This issue will only grow in importance as more programs leverage parallel computing, requiring an understanding of the parallel capabilities of processors and hardware. This book gives both software developers and system engineers key insights into how their skillsets support and complement each other. With a focus on these key knowledge areas, Software Engineering offers a set of best practices that can be applied to any industry or domain involved in developing software products. - A thorough, integrated compilation on the engineering of software products, addressing the majority of the standard knowledge areas and topics - Offers best practices focused on those key skills common to many industries and domains that develop software - Learn how software engineering relates to systems engineering for better communication with other engineering professionals within a project environment","http://books.google.com/books/content?id=GndOWfOakzsC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Introduction to Software Engineering","Ronald J. Leach","Software engineering lies at the heart of the computer revolution. Software is used in automobiles, airplanes, and many home appliances. As the boundaries between the telecommunications, entertainment, and computer industries continue to blur in multimedia and networking, the need for software will only increase, and software will become increasingly complex. Introduction to Software Engineering gives your students the fundamentals of this growing and rapidly changing field. The book highlights the goals of software engineering, namely to write programs that have all the following attributes: efficient, reliable, usable, modifiable, portable, testable, reusable, maintainable, compatible and correct. The nine chapters cover topics that include project management, defining requirements, software design, coding, testing and integration, delivery and installation, documentation, maintenance, and research issues. The author uses a hybrid approach, combining object-oriented technology and classical programming techniques to solve computing problems. He also places a strong emphasis on Internet technology and resources. A simple, but non-trivial, running example illustrates all stages of the software engineering process. In addition, where applicable, he covers the impact of Internet technology. Introduction to Software Engineering presents the basics of software engineering in a concise and direct format. With emphasis on Internet technology, software tools for programming, and hands-on learning, this book effectively prepares students to move from an educational situation towards applying their knowledge to the complex projects faced in the professional arena. Features","http://books.google.com/books/content?id=XW8PlP7sCOkC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Effective Methods for Software Engineering","Boyd L. Summers","Software is important because it is used by a great many people in companies and institutions. This book presents engineering methods for designing and building software. Based on the author’s experience in software engineering as a programmer in the defense and aerospace industries, this book explains how to ensure a software that is programmed operates according to its requirements. It also shows how to develop, operate, and maintain software engineering capabilities by instilling an engineering discipline to support programming, design, builds, and delivery to customers. This book helps software engineers to: Understand the basic concepts, standards, and requirements of software engineering. Select the appropriate programming and design techniques. Effectively use software engineering tools and applications. Create specifications to comply with the software standards and requirements. Utilize various methods and techniques to identify defects. Manage changes to standards and requirements. Besides providing a technical view, this book discusses the moral and ethical responsibility of software engineers to ensure that the software they design and program does not cause serious problems. Software engineers tend to be concerned with the technical elegance of their software products and tools, whereas customers tend to be concerned only with whether a software product meets their needs and is easy and ready to use. This book looks at these two sides of software development and the challenges they present for software engineering. A critical understanding of software engineering empowers developers to choose the right methods for achieving effective results. Effective Methods for Software Engineering guides software programmers and developers to develop this critical understanding that is so crucial in today’s software-dependent society.","http://books.google.com/books/content?id=92LyDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Data Science from Scratch","Joel Grus","Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they’re also a good way to dive into the discipline without actually understanding data science. With this updated second edition, you’ll learn how many of the most fundamental data science tools and algorithms work by implementing them from scratch. If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist. Today’s messy glut of data holds answers to questions no one’s even thought to ask. This book provides you with the know-how to dig those answers out.","http://books.google.com/books/content?id=YBKSDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Data Science Quick Reference Manual Analysis and Visualization","Mario A. B. Capurso","This work follows the 2021 curriculum of the Association for Computing Machinery for specialists in Data Sciences, with the aim of producing a manual that collects notions in a simplified form, facilitating a personal training path starting from specialized skills in Computer Science or Mathematics or Statistics. It has a bibliography with links to quality material but freely usable for your own training and contextual practical exercises. Second of a series of books, it covers methodological aspects, analysis and visualization. It describes the CRISP DM methodology, the working phases, the success criteria, the languages and the environments that can be used, the application libraries. Since this book uses Orange for the application aspects, its installation and widgets are described. In visualization, historical notes are made, and next the book describes the characteristics of an effective visualization, the types of messages that can be conveyed, the Grammar of Graphics, the use of a graph and a dashboard, the software and libraries that can be used, the role and use of color. 55 types of graphs are then analyzed, reporting meaning, use, examples and visual dimensions also with a vocabulary of graphs and summary tables. Examples are given in Orange and the possible use of Python with Orange is explained. Visualization-based inference is discussed, exploratory and confirmatory analysis is defined and techniques are reported. The book is accompanied by supporting material and it is possible to download the project samples in Orange and sample data.","http://books.google.com/books/content?id=TZKgEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"The Data Science Framework","Juan J. Cuadrado-Gallego, Yuri Demchenko","This edited book first consolidates the results of the EU-funded EDISON project (Education for Data Intensive Science to Open New science frontiers), which developed training material and information to assist educators, trainers, employers, and research infrastructure managers in identifying, recruiting and inspiring the data science professionals of the future. It then deepens the presentation of the information and knowledge gained to allow for easier assimilation by the reader. The contributed chapters are presented in sequence, each chapter picking up from the end point of the previous one. After the initial book and project overview, the chapters present the relevant data science competencies and body of knowledge, the model curriculum required to teach the required foundations, profiles of professionals in this domain, and use cases and applications. The text is supported with appendices on related process models. The book can be used to develop new courses in data science, evaluate existing modules and courses, draft job descriptions, and plan and design efficient data-intensive research teams across scientific disciplines.","http://books.google.com/books/content?id=d5EAEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Data Science Quick Reference Manual - Modeling and Machine Learning","Mario A. B. Capurso","This work follows the 2021 curriculum of the Association for Computing Machinery for specialists in Data Sciences, with the aim of producing a manual that collects notions in a simplified form, facilitating a personal training path starting from specialized skills in Computer Science or Mathematics or Statistics. It has a bibliography with links to quality material but freely usable for your own training and contextual practical exercises. Part of a series of books, it first summarizes the standard CRISP DM working methodology used in this work and in Data Science projects. Since this text uses Orange for the application aspects, it describes its installation and widgets. Then it considers the concept of model, its life cycle and the relationship with measures and metrics. The data modeling phase is considered from the point of view of machine learning by deepening the types of machine learning, the types of models, the types of problems and the types of algorithms. After considering the ideal characteristics of models and algorithms, a vocabulary of the types of models and algorithms is compiled and their use in Orange is considered through two supervised and unsupervised projects respectively. The text is accompanied by supporting material and you can download the samples in Orange and the test data.","http://books.google.com/books/content?id=IEDUEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Python for Data Science For Dummies","John Paul Mueller, Luca Massaron","Let Python do the heavy lifting for you as you analyze large datasets Python for Data Science For Dummies lets you get your hands dirty with data using one of the top programming languages. This beginner’s guide takes you step by step through getting started, performing data analysis, understanding datasets and example code, working with Google Colab, sampling data, and beyond. Coding your data analysis tasks will make your life easier, make you more in-demand as an employee, and open the door to valuable knowledge and insights. This new edition is updated for the latest version of Python and includes current, relevant data examples. Get a firm background in the basics of Python coding for data analysis Learn about data science careers you can pursue with Python coding skills Integrate data analysis with multimedia and graphics Manage and organize data with cloud-based relational databases Python careers are on the rise. Grab this user-friendly Dummies guide and gain the programming skills you need to become a data pro.","http://books.google.com/books/content?id=YfPaEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Data Science and Analytics with Python","Jesus Rogel-Salazar","Data Science and Analytics with Python is designed for practitioners in data science and data analytics in both academic and business environments. The aim is to present the reader with the main concepts used in data science using tools developed in Python, such as SciKit-learn, Pandas, Numpy, and others. The use of Python is of particular interest, given its recent popularity in the data science community. The book can be used by seasoned programmers and newcomers alike. The book is organized in a way that individual chapters are sufficiently independent from each other so that the reader is comfortable using the contents as a reference. The book discusses what data science and analytics are, from the point of view of the process and results obtained. Important features of Python are also covered, including a Python primer. The basic elements of machine learning, pattern recognition, and artificial intelligence that underpin the algorithms and implementations used in the rest of the book also appear in the first part of the book. Regression analysis using Python, clustering techniques, and classification algorithms are covered in the second part of the book. Hierarchical clustering, decision trees, and ensemble techniques are also explored, along with dimensionality reduction techniques and recommendation systems. The support vector machine algorithm and the Kernel trick are discussed in the last part of the book. About the Author Dr. Jesús Rogel-Salazar is a Lead Data scientist with experience in the field working for companies such as AKQA, IBM Data Science Studio, Dow Jones and others. He is a visiting researcher at the Department of Physics at Imperial College London, UK and a member of the School of Physics, Astronomy and Mathematics at the University of Hertfordshire, UK, He obtained his doctorate in physics at Imperial College London for work on quantum atom optics and ultra-cold matter. He has held a position as senior lecturer in mathematics as well as a consultant in the financial industry since 2006. He is the author of the book Essential Matlab and Octave, also published by CRC Press. His interests include mathematical modelling, data science, and optimization in a wide range of applications including optics, quantum mechanics, data journalism, and finance.","http://books.google.com/books/content?id=GDwPEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Data Science Fundamentals and Practical Approaches","Nandi Dr. Rupam Dr. Gypsy, Kumar Sharma","Learn how to process and analysis data using Python Key Features a- The book has theories explained elaborately along with Python code and corresponding output to support the theoretical explanations. The Python codes are provided with step-by-step comments to explain each instruction of the code. a- The book is quite well balanced with programs and illustrative real-case problems. a- The book not only deals with the background mathematics alone or only the programs but also beautifully correlates the background mathematics to the theory and then finally translating it into the programs. a- A rich set of chapter-end exercises are provided, consisting of both short-answer questions and long-answer questions. Description This book introduces the fundamental concepts of Data Science, which has proved to be a major game-changer in business solving problems. Topics covered in the book include fundamentals of Data Science, data preprocessing, data plotting and visualization, statistical data analysis, machine learning for data analysis, time-series analysis, deep learning for Data Science, social media analytics, business analytics, and Big Data analytics. The content of the book describes the fundamentals of each of the Data Science related topics together with illustrative examples as to how various data analysis techniques can be implemented using different tools and libraries of Python programming language. Each chapter contains numerous examples and illustrative output to explain the important basic concepts. An appropriate number of questions is presented at the end of each chapter for self-assessing the conceptual understanding. The references presented at the end of every chapter will help the readers to explore more on a given topic. What will you learn a- Understand what machine learning is and how learning can be incorporated into a program. a- Perform data processing to make it ready for visual plot to understand the pattern in data over time. a- Know how tools can be used to perform analysis on big data using python a- Perform social media analytics, business analytics, and data analytics on any data of a company or organization. Who this book is for The book is for readers with basic programming and mathematical skills. The book is for any engineering graduates that wish to apply data science in their projects or wish to build a career in this direction. The book can be read by anyone who has an interest in data analysis and would like to explore more out of interest or to apply it to certain real-life problems. Table of Contents 1. Fundamentals of Data Science1 2. Data Preprocessing 3. Data Plotting and Visualization 4. Statistical Data Analysis 5. Machine Learning for Data Science 6. Time-Series Analysis 7. Deep Learning for Data Science 8. Social Media Analytics 9. Business Analytics 10. Big Data Analytics About the Authors Dr. Gypsy Nandi is an Assistant Professor (Sr) in the Department of Computer Applications, Assam Don Bosco University, India. Her areas of interest include Data Science, Social Network Mining, and Machine Learning. She has completed her Ph.D. in the field of 'Social Network Analysis and Mining'. Her research scholars are currently working mainly in the field of Data Science. She has several research publications in reputed journals and book series. Dr. Rupam Kumar Sharma is an Assistant Professor in the Department of Computer Applications, Assam Don Bosco University, India. His area of interest includes Machine Learning, Data Analytics, Network, and Cyber Security. He has several research publications in reputed SCI and Scopus journals. He has also delivered lectures and trained hundreds of trainees and students across different institutes in the field of security and android app development.","http://books.google.com/books/content?id=Eb9IEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Data Science and Digital Business","Fausto Pedro García Márquez, Benjamin Lev","This book combines the analytic principles of digital business and data science with business practice and big data. The interdisciplinary, contributed volume provides an interface between the main disciplines of engineering and technology and business administration. Written for managers, engineers and researchers who want to understand big data and develop new skills that are necessary in the digital business, it not only discusses the latest research, but also presents case studies demonstrating the successful application of data in the digital business.","http://books.google.com/books/content?id=fo2CDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Practical Data Science for Information Professionals","David Stuart","Practical Data Science for Information Professionals provides an accessible introduction to a potentially complex field, providing readers with an overview of data science and a framework for its application. It provides detailed examples and analysis on real data sets to explore the basics of the subject in three principle areas: clustering and social network analysis; predictions and forecasts; and text analysis and mining. As well as highlighting a wealth of user-friendly data science tools, the book also includes some example code in two of the most popular programming languages (R and Python) to demonstrate the ease with which the information professional can move beyond the graphical user interface and achieve significant analysis with just a few lines of code. After reading, readers will understand: · the growing importance of data science · the role of the information professional in data science · some of the most important tools and methods that information professionals can use. Bringing together the growing importance of data science and the increasing role of information professionals in the management and use of data, Practical Data Science for Information Professionals will provide a practical introduction to the topic specifically designed for the information community. It will appeal to librarians and information professionals all around the world, from large academic libraries to small research libraries. By focusing on the application of open source software, it aims to reduce barriers for readers to use the lessons learned within.","http://books.google.com/books/content?id=2TjzDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Data Science for Business Professionals","Probyto Data Science and Consulting Pvt. Ltd.","Primer into the multidisciplinary world of Data Science KEY FEATURESÊÊ - Explore and use the key concepts of Statistics required to solve data science problems - Use Docker, Jenkins, and Git for Continuous Development and Continuous Integration of your web app - Learn how to build Data Science solutions with GCP and AWS DESCRIPTIONÊ The book will initially explain the What-Why of Data Science and the process of solving a Data Science problem. The fundamental concepts of Data Science, such as Statistics, Machine Learning, Business Intelligence, Data pipeline, and Cloud Computing, will also be discussed. All the topics will be explained with an example problem and will show how the industry approaches to solve such a problem. The book will pose questions to the learners to solve the problems and build the problem-solving aptitude and effectively learn. The book uses Mathematics wherever necessary and will show you how it is implemented using Python with the help of an example dataset.Ê WHAT WILL YOU LEARNÊÊ - Understand the multi-disciplinary nature of Data Science - Get familiar with the key concepts in Mathematics and Statistics - Explore a few key ML algorithms and their use cases - Learn how to implement the basics of Data Pipelines - Get an overview of Cloud Computing & DevOps - Learn how to create visualizations using Tableau WHO THIS BOOK IS FORÊ This book is ideal for Data Science enthusiasts who want to explore various aspects of Data Science. Useful for Academicians, Business owners, and Researchers for a quick reference on industrial practices in Data Science.Ê TABLE OF CONTENTS 1. Data Science in Practice 2. Mathematics Essentials 3. Statistics Essentials 4. Exploratory Data Analysis 5. Data preprocessing 6. Feature Engineering 7. Machine learning algorithms 8. Productionizing ML models 9. Data Flows in Enterprises 10. Introduction to Databases 11. Introduction to Big Data 12. DevOps for Data Science 13. Introduction to Cloud Computing 14. Deploy Model to Cloud 15. Introduction to Business IntelligenceÊ 16. Data Visualization Tools 17. Industry Use Case 1 Ð FormAssist 18. Industry Use Case 2 Ð PeopleReporter 19. Data Science Learning Resources 20. Do It Your Self Challenges 21. MCQs for Assessments","http://books.google.com/books/content?id=A4ThDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Agile Methodologies In-Depth","Sudipta Malakar","A pragmatic guide that will teach you to implement Agile, SCRUM and Kanban in your organization. Ê KEY FEATURESÊ _Ê Expert-guided techniques for successful Agile transformation in your organization. _Ê Solution-focused responses onÊ interview questions of Agile SCRUM, XP, DSDM, KANBAN and SCRUMBAN. _Ê Reference guide to prepare for leading PMI-ACP and SAFe Certification exam. DESCRIPTIONÊ This book is for businesses that aspire to improve agility, deliver fit-for-purpose products and services, delight customers, and provide the security of long-term survival associated with mature businesses that consistently meet or exceed customer expectations. Learn a lean approach by seeing how Kanban made a difference in four real-world situations. You'll explore how different teams used Kanban to make paradigm-changing improvements in software development. These teams were struggling with overwork, unclear priorities, and a lack of direction. As you discover what worked for them, you'll understand how to make significant changes in real-life situations. The Artefact has been developed as a resource to understand, evaluate, and use Agile and Hybrid Agile approaches. This practice guide will help you understand when, where, and how to apply Agile approaches and provides practical tools for practitioners and organizations wanting to increase agility. WHAT YOU WILL LEARNÊÊ _Ê Explore and learn how to build Organizational Resilience and Enterprise Maturity Model. _Ê Step-by-step solutions to implement Portfolio Kanban and Upstream Kanban. _Ê Deep dive into Agile SHIFT framework and Hybrid Agile framework. _Ê Exciting case studies and practical demonstrations on Agile SCRUM & KANBAN. _Ê Expert-ready guidance on overcoming common Agile project management misconceptions. WHO THIS BOOK IS FORÊÊ This book is appealing to decision makers, product owners, project team members who can make use of this guide in improvising the productivity and efficient management of business operations without much of hassle.Ê TABLE OF CONTENTS 1. Key success factors for adopting Agile SCRUM Kanban in any organization 2. Lessons learnt and pragmatic approach Ð Agile Scrum Kanban 3. Tricky real-world Agile SCRUM & KANBAN case studies, demos and tools 4. Agile SCRUM KANBAN Maturity assessment Nuts & Bolts 5. Useful tips & techniques for successful Agile transformation in any organization and the art of Agile development 6. Use of Agile for students and parents 7. Common Agile SCRUM KANBAN misconceptions 8. Key takeaways 9. Interview questions and answers on Agile SCRUM KANBAN 10. Glossary 11. Quiz session 12. Test your knowledge","http://books.google.com/books/content?id=4WMWEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"AGILE METHODOLOGIES","NARAYAN CHANGDER","THE AGILE METHODOLOGIES MCQ (MULTIPLE CHOICE QUESTIONS) SERVES AS A VALUABLE RESOURCE FOR INDIVIDUALS AIMING TO DEEPEN THEIR UNDERSTANDING OF VARIOUS COMPETITIVE EXAMS, CLASS TESTS, QUIZ COMPETITIONS, AND SIMILAR ASSESSMENTS. WITH ITS EXTENSIVE COLLECTION OF MCQS, THIS BOOK EMPOWERS YOU TO ASSESS YOUR GRASP OF THE SUBJECT MATTER AND YOUR PROFICIENCY LEVEL. BY ENGAGING WITH THESE MULTIPLE-CHOICE QUESTIONS, YOU CAN IMPROVE YOUR KNOWLEDGE OF THE SUBJECT, IDENTIFY AREAS FOR IMPROVEMENT, AND LAY A SOLID FOUNDATION. DIVE INTO THE AGILE METHODOLOGIES MCQ TO EXPAND YOUR AGILE METHODOLOGIES KNOWLEDGE AND EXCEL IN QUIZ COMPETITIONS, ACADEMIC STUDIES, OR PROFESSIONAL ENDEAVORS. THE ANSWERS TO THE QUESTIONS ARE PROVIDED AT THE END OF EACH PAGE, MAKING IT EASY FOR PARTICIPANTS TO VERIFY THEIR ANSWERS AND PREPARE EFFECTIVELY.","http://books.google.com/books/content?id=twL4EAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Introduction to Agile Methods","Sondra Ashmore Ph.D., Kristin Runyan","A Thorough Introduction to the Agile Framework and Methodologies That Are Used Worldwide Organizations of all shapes and sizes are embracing Agile methodologies as a way to transform their products, customer satisfaction, and employee engagement. Many people with varying levels of work experience are interested in understanding the architecture and nuances of Agile, but it is difficult to know where to start. Numerous practitioner books are available, but there has never been a single source for unbiased information about Agile methodologies–until now. Introduction to Agile Methods is the place to start for students and professionals who want to understand Agile and become conversant with Agile values, principles, framework, and processes. Authors Sondra Ashmore and Kristin Runyan use academic research and their own experiences with numerous Agile implementations to present a clear description of the essential concepts. They address all key roles and the entire development life cycle, including common roadblocks that must be overcome to be successful. Through the authors’ realistic use cases, practical examples, and thought-provoking interviews with pioneering practitioners, complex concepts are made relatable. No matter what your role or level of experience, this book provides a foundational understanding that can be used to start or enhance any Agile effort. Coverage includes How Agile compares with the Waterfall method and when to use each Why Agile demands a cultural transformation–and how that looks to each participant Comparing various Agile methodologies, including Scrum, Kanban, Extreme Programming (XP), Crystal, Feature Driven Development (FDD), Lean, and DSDM Understanding the roles within Agile and how they work together to create superior results Agile approaches to requirements gathering, planning, estimating, tracking, reporting, testing, quality, and integration Extending Agile beyond IT","http://books.google.com/books/content?id=hE7iAwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Agile Methods","Viviane Almeida dos Santos, Gustavo Henrique Lima Pinto, Adolfo Gustavo Serra Seca Neto","This book constitutes revised selected papers from the 8th Brazilian Workshop on Agile Methods, WBMA 2017, held in Belém, Brazil, in September 2017. The 10 full and 2 short papers presented in this volume were carefully reviewed and selected from 19 submissions. The papers present empirical studies on agile values and principles; agile practices; agile adoption; agile testing and quality; metrics; conceptual studies; cultural aspects on agile business; organizational transformation and future trends.","http://books.google.com/books/content?id=gr5GDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Agile Methods","Paulo Meirelles, Maria Augusta Nelson, Carla Rocha","This book constitutes revised selected papers from the 10th Brazilian Workshop on Agile Methods, WBMA 2019, held in Belo Horizonte, Brazil, in September 2019. The 6 full and 4 short papers presented in this volume were carefully reviewed and selected from 21 submissions. Accepted papers focus on agile methods; experimental studies with agile; software engineering education with agile; agile project management.","http://books.google.com/books/content?id=PDLDDwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Agile Methodologies for Developers","PATRICK SNOW","Agile methodologies are a set of principles and practices that emphasize flexibility, collaboration, and customer-centricity. They are designed to help organizations deliver products and services more quickly and efficiently. This book is a comprehensive guide to Agile methodologies, designed to take you from novice to expert. It covers the following topics: The history of Agile methodologies The principles of Agile The practices of Agile Agile frameworks and methodologies Agile project management Agile testing and quality assurance Agile transformation and adoption Real-world case studies and best practices The book is written in a clear and concise style, and it is full of practical examples and insights. It is an essential resource for anyone who wants to learn more about Agile methodologies. What You Will Learn The fundamental principles of Agile, such as iterative development, continuous improvement, and customer collaboration. The most popular Agile frameworks, such as Scrum and Kanban. How to apply Agile principles and practices to your own projects. How to manage risks and challenges in Agile projects. How to measure the success of Agile projects. Real-world case studies and best practices from organizations that have successfully implemented Agile. Why Choose This Book? This book is written by experts with years of experience in the field. It is a comprehensive and up-to-date resource that covers all aspects of Agile methodologies. It provides practical, actionable tips and examples that you can use to improve your own Agile skills. It is an essential resource for anyone who wants to learn more about Agile methodologies or implement Agile in their organization. If you are ready to take your Agile skills to the next level, then this book is for you. Order your copy today and start your journey to becoming an Agile expert!","http://books.google.com/books/content?id=HYDZEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Agile Methods","Carla Rocha, Celio Santana Júnior, Fernando De Sá, Tiago Silva da Silva","This book constitutes the refereed proceedings of the 11th Brazilian Workshop on Agile Methods, WBMA 2021, which took place online in October 2021. The 6 full papers and 3 short papers presented in this volume were carefully reviewed and selected from 18 submissions. WBMA is the research track in the Agile Brazil conference. It is an academic event that focuses on agile software development.","http://books.google.com/books/content?id=mrOqEAAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Agile Methods","Tiago Silva da Silva, Bernardo Estácio, Josiane Kroll, Rafaela Mantovani Fontana","This book constitutes revised selected papers from the 7th Brazilian Workshop on Agil Methods, WBMA 2016, held in Curitiba, Brazil, in November 2016. The 10 full and 4 short papers presented in this volume were carefully reviewed and selected from 35 submissions. The papers present empirical results and literature reviews on agile implementation in government and distributed environments, design thinking and projects inception, testing and technical debt, motivation and gamification, training, modeling and project management, maturity models and quality assurance.","http://books.google.com/books/content?id=r7J3DgAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Business Intelligence and Agile Methodologies for Knowledge-Based Organizations: Cross-Disciplinary Applications","Rahman El Sheikh, Asim Abdel","Business intelligence applications are of vital importance as they help organizations manage, develop, and communicate intangible assets such as information and knowledge. Organizations that have undertaken business intelligence initiatives have benefited from increases in revenue, as well as significant cost savings.Business Intelligence and Agile Methodologies for Knowledge-Based Organizations: Cross-Disciplinary Applications highlights the marriage between business intelligence and knowledge management through the use of agile methodologies. Through its fifteen chapters, this book offers perspectives on the integration between process modeling, agile methodologies, business intelligence, knowledge management, and strategic management.","http://books.google.com/books/content?id=fArG4ZgjqyUC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Accelerating Process Improvement Using Agile Techniques","Deb Jacobs","Accelerating Process Improvement Using Agile Techniques explains how agile programming is applied to standard process improvement. By applying agile techniques, IT organizations can speed up process improvement initiatives, minimize the resources these initiatives require, and maximize the benefits of process improvement. The book details st","http://books.google.com/books/content?id=p6c1EQAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Design Patterns in Java","Steven John Metsker, William C. Wake","Scope and content: Covers all five categories of design pattern intent - interfaces, responsibility, construction, operations and extensions - this workbook approach deepens readers understanding and strengthens their skills.","http://books.google.com/books/content?id=Dp1QAAAAMAAJ&printsec=frontcover&img=1&zoom=10&source=gbs_api"
"Design Patterns for Object-oriented Software Development","Wolfgang Pree","Software -- Software Engineering.","http://books.google.com/books/content?id=cIlQAAAAMAAJ&printsec=frontcover&img=1&zoom=10&source=gbs_api"
"Head First Design Patterns","Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra","What’s so special about design patterns? At any given moment, someone struggles with the same software design problems you have. And, chances are, someone else has already solved your problem. This edition of Head First Design Patterns—now updated for Java 8—shows you the tried-and-true, road-tested patterns used by developers to create functional, elegant, reusable, and flexible software. By the time you finish this book, you’ll be able to take advantage of the best design practices and experiences of those who have fought the beast of software design and triumphed. What’s so special about this book? We think your time is too valuable to spend struggling with new concepts. Using the latest research in cognitive science and learning theory to craft a multi-sensory learning experience, Head First Design Patterns uses a visually rich format designed for the way your brain works, not a text-heavy approach that puts you to sleep.","http://books.google.com/books/content?id=NXIrAQAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Java Design Patterns","Vaskaran Sarcar","Get hands-on experience implementing 26 of the most common design patterns using Java and Eclipse. In addition to Gang of Four (GoF) design patterns, you will also learn about alternative design patterns, and understand the criticisms of design patterns with an overview of anti-patterns. For each pattern you will see at least one real-world scenario, a computer-world example, and a complete implementation including output. This book has three parts. The first part covers 23 Gang of Four (GoF) design patterns. The second part includes three alternative design patterns. The third part presents criticisms of design patterns with an overview of anti-patterns. You will work through easy-to-follow examples to understand the concepts in depth and you will have a collection of programs to port over to your own projects. A Q&A session is included in each chapter and covers the pros and cons of each pattern. The last chapter presents FAQs about the design patterns. The step-by-step approach of the book helps you apply your skills to learn other patterns on your own, and to be familiar with the latest version of Java and Eclipse. What You'll Learn Work with each of the design patterns Implement design patterns in real-world applications Choose from alternative design patterns by comparing their pros and cons Use the Eclipse IDE to write code and generate output Read the in-depth Q&A session in each chapter with pros and cons for each design pattern Who This Book Is For Software developers, architects, and programmers","http://books.google.com/books/content?id=vPt9DwAAQBAJ&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Design Pattern Formalization Techniques","Taibi, Toufik","Many formal approaches for pattern specification are emerging as a means to cope with the inherent shortcomings of informal description. Design Pattern Formalization Techniques presents multiple mathematical, formal approaches for pattern specification, emphasizing on software development processes for engineering disciplines. Design Pattern Formalization Techniques focuses on formalizing the solution element of patterns, providing tangible benefits to pattern users, researchers, scholars, academicians, practitioners and students working in the field of design patterns and software reuse.Design Pattern Formalization Techniques explains details on several specification languages, allowing readers to choose the most suitable formal technique to solve their specific inquiries.","http://books.google.com/books/content?id=lQH6Ejk9OwUC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Java Design Patterns","James William Cooper","Java developers know that design patterns offer powerful productivity benefits but few books have been specific enough to address their programming challenges. With ""Java Design Patterns"", there's finally a hands-on guide focused specifically on real-world Java development. The book covers three main categories of design patterns--creational, structural, and behavioral--and the example programs and useful variations can be found on the accompanying CD-ROM.","http://books.google.com/books/content?id=SrJRu8T69FcC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Design Patterns Java Workbook","Steven John Metsker","This workbook approach deepens understanding, builds confidence, and strengthens readers' skills. It covers all five categories of design pattern intent: interfaces, responsibility, construction, operations, and extensions.","http://books.google.com/books/content?id=3Ra-GJlYj30C&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
"Design Patterns","Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","Software -- Software Engineering.","http://books.google.com/books/content?id=jUvf7wMUGcUC&printsec=frontcover&img=1&zoom=10&edge=curl&source=gbs_api"
